epoch,accuracy,loss,val_accuracy,val_loss
0,0.722000002861023,0.7763713002204895,0.8374999761581421,0.3587333559989929
1,0.8289999961853027,0.3770737648010254,0.7412499785423279,0.5778825879096985
2,0.871999979019165,0.33349737524986267,0.8412500023841858,0.3783417046070099
3,0.8999999761581421,0.2729720175266266,0.8912500143051147,0.27617743611335754
4,0.9190000295639038,0.21832863986492157,0.8987500071525574,0.29945385456085205
5,0.9300000071525574,0.1847861111164093,0.8774999976158142,0.37963977456092834
6,0.9390000104904175,0.14720463752746582,0.8962500095367432,0.32381725311279297
7,0.9470000267028809,0.14219799637794495,0.7462499737739563,1.4024147987365723
8,0.9539999961853027,0.13004346191883087,0.9087499976158142,0.33976277709007263
9,0.9679999947547913,0.0964493602514267,0.90625,0.3751394748687744
